date,cases,deaths
2020-01-22,555,17
2020-01-23,654,18
2020-01-24,941,26
2020-01-25,1434,42
2020-01-26,2118,56
2020-01-27,2927,82
2020-01-28,5578,131
2020-01-29,6167,133
2020-01-30,8235,171
2020-01-31,9927,213
2020-02-01,12038,259
2020-02-02,16787,362
2020-02-03,19887,426
2020-02-04,23898,492
2020-02-05,27643,564
2020-02-06,30803,634
2020-02-07,34396,719
2020-02-08,37130,806
2020-02-09,40160,906
2020-02-10,42769,1013
2020-02-11,44811,1113
2020-02-12,45229,1118
2020-02-13,60382,1371
2020-02-14,66909,1523
2020-02-15,69051,1666
2020-02-16,71235,1770
2020-02-17,73270,1868
2020-02-18,75152,2008
2020-02-19,75652,2123
2020-02-20,76212,2248
2020-02-21,76841,2252
2020-02-22,78602,2459
2020-02-23,78982,2470
2020-02-24,79546,2630
2020-02-25,80399,2710
2020-02-26,81376,2771
2020-02-27,82736,2814
2020-02-28,84123,2873
2020-02-29,86013,2942
2020-03-01,88394,2996
2020-03-02,90377,3085
2020-03-03,92963,3160
2020-03-04,95279,3255
2020-03-05,98044,3348
2020-03-06,102043,3460
2020-03-07,106109,3559
2020-03-08,110058,3803
2020-03-09,114027,3987
2020-03-10,119052,4267
2020-03-11,126702,4611
2020-03-12,132492,4917
2020-03-13,146879,5414
2020-03-14,157952,5834
2020-03-15,169222,6475
2020-03-16,184032,7153
2020-03-17,199976,7965
2020-03-18,219535,8868
2020-03-19,246584,9980
2020-03-20,277361,11461
2020-03-21,309363,13183
2020-03-22,343679,14857
2020-03-23,387045,16798
2020-03-24,428455,19083
2020-03-25,479489,21882
2020-03-26,542352,24903
2020-03-27,607469,28397
2020-03-28,674773,32115
2020-03-29,734025,35591
2020-03-30,799411,39644
2020-03-31,876288,44395
2020-04-01,952799,49904
2020-04-02,1034089,56139
2020-04-03,1117368,62252
2020-04-04,1197751,68419
2020-04-05,1269728,73595
2020-04-06,1342938,79542
2020-04-07,1420723,87772
2020-04-08,1505115,94531
2020-04-09,1591308,102291
2020-04-10,1678725,109692
2020-04-11,1754891,115920
2020-04-12,1850360,121743
2020-04-13,1920520,127653
2020-04-14,1991778,134625
2020-04-15,2073664,142985
2020-04-16,2170502,150270
2020-04-17,2258252,158635
2020-04-18,2331730,164653
2020-04-19,2411760,169918
2020-04-20,2486338,175782
2020-04-21,2562292,182971
2020-04-22,2639997,189702
2020-04-23,2727920,196539
2020-04-24,2812308,203203
2020-04-25,2895700,208838
2020-04-26,2967573,212781
2020-04-27,3037307,217455
2020-04-28,3112773,223996
2020-04-29,3190203,230730
2020-04-30,3273574,236724
2020-05-01,3360772,241876
2020-05-02,3440772,247352
2020-05-03,3517290,250830
2020-05-04,3594385,254930
2020-05-05,3674853,260810
2020-05-06,3764797,267353
2020-05-07,3853808,272650
2020-05-08,3944935,278122
2020-05-09,4029856,282408
2020-05-10,4105084,286006
2020-05-11,4181990,289477
2020-05-12,4266257,295003
2020-05-13,4351117,300077
2020-05-14,4447724,305268
2020-05-15,4544111,310384
2020-05-16,4638322,314560
2020-05-17,4715953,317844
2020-05-18,4804660,321542
2020-05-19,4901910,326255
2020-05-20,5004285,331016
2020-05-21,5111091,335734
2020-05-22,5217070,340928
2020-05-23,5321646,344844
2020-05-24,5416049,347970
2020-05-25,5502479,349175
2020-05-26,5595745,353293
2020-05-27,5698752,358427
2020-05-28,5818252,363049
2020-05-29,5939196,367643
2020-05-30,6076190,371710
2020-05-31,6182739,374687
2020-06-01,6277899,377771
2020-06-02,6399361,382484
2020-06-03,6517569,387920
2020-06-04,6644525,393037
2020-06-05,6775668,397596
2020-06-06,6910017,401449
2020-06-07,7021891,404194
2020-06-08,7124396,407875
2020-06-09,7249171,412709
2020-06-10,7383937,417768
2020-06-11,7521941,422451
2020-06-12,7650546,426669
2020-06-13,7785982,430862
2020-06-14,7918439,434280
2020-06-15,8037804,437701
2020-06-16,8179644,444422
2020-06-17,8322779,449507
2020-06-18,8462906,454484
2020-06-19,8642483,460635
2020-06-20,8799337,464841
2020-06-21,8927572,468852
2020-06-22,9065725,472411
2020-06-23,9231558,477631
2020-06-24,9402525,482811
2020-06-25,9580790,487510
2020-06-26,9772323,492213
2020-06-27,9949686,496691
2020-06-28,10112687,499836
2020-06-29,10268359,503571
2020-06-30,10442416,508510
2020-07-01,10659787,513438
2020-07-02,10868757,518498
2020-07-03,11070703,523434
2020-07-04,11264129,527814
2020-07-05,11446765,531296
2020-07-06,11612269,535131
2020-07-07,11823759,541146
2020-07-08,12036715,546415
2020-07-09,12264379,551824
2020-07-10,12496804,557115
2020-07-11,12713063,561915
2020-07-12,12905924,565915
2020-07-13,13097460,569762
2020-07-14,13318975,575332
2020-07-15,13550258,580758
2020-07-16,13802734,586531
2020-07-17,14044855,593176
2020-07-18,14280992,598795
2020-07-19,14494710,602864
2020-07-20,14701074,607057
2020-07-21,14934500,613227
2020-07-22,15215944,620141
2020-07-23,15498570,630046
2020-07-24,15779600,636099
2020-07-25,16034121,641616
2020-07-26,16247118,645302
2020-07-27,16472797,650490
2020-07-28,16725051,656794
2020-07-29,17015219,663358
2020-07-30,17295467,669387
2020-07-31,17586976,675595
2020-08-01,17836946,681073
2020-08-02,18068553,685380
2020-08-03,18270705,690007
2020-08-04,18529528,696637
2020-08-05,18804369,703616
2020-08-06,19090775,710106
2020-08-07,19373623,716409
2020-08-08,19632377,721845
2020-08-09,19857674,726411
2020-08-10,20084105,731653
2020-08-11,20339245,737861
2020-08-12,20618786,744483
2020-08-13,20905739,750694
2020-08-14,21211536,760825
2020-08-15,21459152,766212
2020-08-16,21672643,770433
2020-08-17,21883103,774578
2020-08-18,22139250,781459
